activity_date,description,priority,sf_contact_id,sf_task_id,status,subject
2026-01-07,Customer segment: active,Normal,003g5000002EgnpAAC,00Tg5000000RjVjEAK,Completed,Cross-sell Opportunity
2024-11-12,Customer segment: at_risk,Normal,003g5000002EeirAAC,00Tg5000000RjVkEAK,Completed,Welcome Call
2024-03-05,Customer segment: active,Normal,003g5000002Ehf4AAC,00Tg5000000RjVlEAK,In Progress,Follow-up Call
2025-09-18,Customer segment: active,Normal,003g5000002EhvBAAS,00Tg5000000RjVmEAK,Completed,Cross-sell Opportunity
2024-09-09,Customer segment: active,High,003g5000002EfdGAAS,00Tg5000000RjXKEA0,Not Started,Account Review
2023-07-15,Customer segment: active,Normal,003g5000002Eg9VAAS,00Tg5000000RjXLEA0,Completed,Follow-up Call
2025-08-17,Customer segment: at_risk,Normal,003g5000002EgCjAAK,00Tg5000000RjXMEA0,In Progress,Welcome Call
2025-11-10,Customer segment: active,Low,003g5000002EgELAA0,00Tg5000000RjXNEA0,Not Started,Survey Follow-up
2025-08-06,Customer segment: active,Normal,003g5000002EeyvAAC,00Tg5000000RjYvEAK,In Progress,Cross-sell Opportunity
2024-01-12,Customer segment: active,Low,003g5000002EfBpAAK,00Tg5000000RjYwEAK,Not Started,Survey Follow-up
2025-09-20,Customer segment: active,Normal,003g5000002EfdFAAS,00Tg5000000RjYxEAK,Not Started,Product Inquiry Response
2023-05-07,Customer segment: churned,Normal,003g5000002EfOkAAK,00Tg5000000RjYyEAK,Completed,Product Inquiry Response
2023-12-29,Customer segment: active,High,003g5000002EeyvAAC,00Tg5000000RjaXEAS,Completed,Retention Call
2023-06-29,Customer segment: at_risk,Normal,003g5000002Ef29AAC,00Tg5000000RjaYEAS,Completed,Follow-up Call
2025-03-21,Customer segment: active,High,003g5000002Ef5OAAS,00Tg5000000RjaZEAS,Completed,Retention Call
2024-12-09,Customer segment: active,Normal,003g5000002EfyDAAS,00Tg5000000RjaaEAC,Not Started,Welcome Call
2024-10-21,Customer segment: active,Normal,003g5000002EgEMAA0,00Tg5000000RjabEAC,In Progress,Welcome Call
2023-04-04,Customer segment: active,Normal,003g5000002EeMGAA0,00Tg5000000RjacEAC,Not Started,Cross-sell Opportunity
2024-08-06,Customer segment: at_risk,High,003g5000002EhVNAA0,00Tg5000000RjadEAC,Completed,Retention Call
2025-04-06,Customer segment: active,High,003g5000002EeyvAAC,00Tg5000000Rjc9EAC,Completed,Account Review
2024-03-24,Customer segment: churned,Normal,003g5000002EgMQAA0,00Tg5000000RjcAEAS,Not Started,Welcome Call
2024-02-10,Customer segment: active,Normal,003g5000002EhrzAAC,00Tg5000000RjcBEAS,Not Started,Follow-up Call
2023-10-28,Customer segment: active,Normal,003g5000002Ei9hAAC,00Tg5000000RjcCEAS,In Progress,Follow-up Call
2023-10-11,Customer segment: active,Low,003g5000002EiEYAA0,00Tg5000000RjcDEAS,In Progress,Birthday Greeting
2023-08-17,Customer segment: active,Low,003g5000002EeitAAC,00Tg5000000RjcEEAS,Not Started,Birthday Greeting
2024-01-18,Customer segment: active,Normal,003g5000002EeiqAAC,00Tg5000000RjdlEAC,Not Started,Product Inquiry Response
2023-06-25,Customer segment: active,Low,003g5000002Ef3oAAC,00Tg5000000RjdmEAC,Completed,Birthday Greeting
2024-07-10,Customer segment: active,High,003g5000002Ef0XAAS,00Tg5000000RjfNEAS,Not Started,Account Review
2023-08-20,Customer segment: at_risk,Normal,003g5000002EfF4AAK,00Tg5000000RjfOEAS,In Progress,Product Inquiry Response
2023-09-28,Customer segment: at_risk,Normal,003g5000002Efa1AAC,00Tg5000000RjfPEAS,In Progress,Welcome Call
2023-03-26,Customer segment: at_risk,Normal,003g5000002Efa1AAC,00Tg5000000RjfQEAS,Not Started,Product Inquiry Response
2023-07-12,Customer segment: churned,Normal,003g5000002EeneAAC,00Tg5000000RjfREAS,Completed,Cross-sell Opportunity
2025-04-12,Customer segment: at_risk,Low,003g5000002EgxZAAS,00Tg5000000RjfSEAS,In Progress,Survey Follow-up
2025-09-19,Customer segment: active,Low,003g5000002EgaxAAC,00Tg5000000RjfTEAS,Not Started,Survey Follow-up
2024-11-19,Customer segment: churned,Low,003g5000002EjH3AAK,00Tg5000000RjfUEAS,Not Started,Birthday Greeting
2025-09-03,Customer segment: active,Normal,003g5000002EjSLAA0,00Tg5000000RjfVEAS,Completed,Cross-sell Opportunity
2023-05-29,Customer segment: active,High,003g5000002Ef0XAAS,00Tg5000000RjgzEAC,Not Started,Account Review
2023-05-31,Customer segment: active,Normal,003g5000002Egz7AAC,00Tg5000000Rjh0EAC,Not Started,Cross-sell Opportunity
2025-01-03,Customer segment: at_risk,Normal,003g5000002Eg6IAAS,00Tg5000000Rjh1EAC,In Progress,Follow-up Call
2024-05-24,Customer segment: at_risk,Normal,003g5000002EgmFAAS,00Tg5000000Rjh2EAC,Not Started,Cross-sell Opportunity
2023-06-13,Customer segment: active,Normal,003g5000002Ef0XAAS,00Tg5000000RjibEAC,Not Started,Follow-up Call
2023-04-29,Customer segment: active,Low,003g5000002EfdLAAS,00Tg5000000RjicEAC,Not Started,Birthday Greeting
2023-02-15,Customer segment: active,Normal,003g5000002EiknAAC,00Tg5000000RjidEAC,In Progress,Cross-sell Opportunity
2025-07-01,Customer segment: at_risk,Low,003g5000002Ei3HAAS,00Tg5000000RjieEAC,In Progress,Survey Follow-up
2023-10-27,Customer segment: at_risk,Low,003g5000002Ef29AAC,00Tg5000000RjkDEAS,Completed,Survey Follow-up
2024-01-08,Customer segment: churned,Low,003g5000002Ef3mAAC,00Tg5000000RjkEEAS,In Progress,Survey Follow-up
2025-01-02,Customer segment: at_risk,Normal,003g5000002EfJtAAK,00Tg5000000RjkFEAS,Not Started,Cross-sell Opportunity
2025-10-07,Customer segment: active,Low,003g5000002Ef3oAAC,00Tg5000000RjkGEAS,In Progress,Birthday Greeting
2024-12-15,Customer segment: at_risk,Low,003g5000002Efa1AAC,00Tg5000000RjkHEAS,Completed,Birthday Greeting
2023-08-15,Customer segment: at_risk,Low,003g5000002Ef29AAC,00Tg5000000RjlpEAC,In Progress,Survey Follow-up
2023-05-29,Customer segment: active,High,003g5000002Ef8bAAC,00Tg5000000RjlqEAC,Completed,Account Review
2025-07-19,Customer segment: at_risk,High,003g5000002Ef29AAC,00Tg5000000RjnREAS,Completed,Account Review
2025-08-14,Customer segment: active,Normal,003g5000002Ef3lAAC,00Tg5000000RjnSEAS,Not Started,Welcome Call
2023-11-16,Customer segment: active,Low,003g5000002EfTZAA0,00Tg5000000RjnTEAS,In Progress,Survey Follow-up
2024-04-02,Customer segment: active,Normal,003g5000002Ef0ZAAS,00Tg5000000RjnUEAS,In Progress,Welcome Call
2025-07-05,Customer segment: active,High,003g5000002Ehf4AAC,00Tg5000000RjnVEAS,In Progress,Account Review
2023-08-05,Customer segment: active,Normal,003g5000002EhtZAAS,00Tg5000000RjnWEAS,Not Started,Follow-up Call
2024-07-01,Customer segment: active,Low,003g5000002Efv0AAC,00Tg5000000RjnXEAS,Completed,Birthday Greeting
2024-08-24,Customer segment: active,Low,003g5000002Eg9XAAS,00Tg5000000RjnYEAS,Not Started,Survey Follow-up
2025-10-12,Customer segment: at_risk,High,003g5000002EgcaAAC,00Tg5000000RjnZEAS,Not Started,Retention Call
2023-03-20,Customer segment: at_risk,Normal,003g5000002EhASAA0,00Tg5000000RjnaEAC,In Progress,Cross-sell Opportunity
2023-05-18,Customer segment: churned,Low,003g5000002EjKJAA0,00Tg5000000RjnbEAC,In Progress,Survey Follow-up
2024-10-02,Customer segment: active,Low,003g5000002Ef5NAAS,00Tg5000000Rjp3EAC,Completed,Survey Follow-up
2023-11-15,Customer segment: churned,Low,003g5000002EfjhAAC,00Tg5000000Rjp4EAC,Not Started,Birthday Greeting
2023-04-17,Customer segment: active,Normal,003g5000002EfRyAAK,00Tg5000000Rjp5EAC,Not Started,Follow-up Call
2023-06-18,Customer segment: active,Normal,003g5000002EgMPAA0,00Tg5000000Rjp6EAC,In Progress,Welcome Call
2025-07-30,Customer segment: churned,High,003g5000002EgxVAAS,00Tg5000000Rjp7EAC,Not Started,Account Review
2025-01-25,Customer segment: active,Low,003g5000002Ef2BAAS,00Tg5000000Rjp8EAC,Completed,Survey Follow-up
2023-01-25,Customer segment: at_risk,Normal,003g5000002Eg6IAAS,00Tg5000000Rjp9EAC,In Progress,Cross-sell Opportunity
2023-07-31,Customer segment: at_risk,Normal,003g5000002Eh7BAAS,00Tg5000000RjpAEAS,In Progress,Welcome Call
2025-01-12,Customer segment: active,High,003g5000002EfzqAAC,00Tg5000000RjpBEAS,Completed,Retention Call
2023-04-09,Customer segment: active,Low,003g5000002EeMFAA0,00Tg5000000RjpCEAS,Completed,Survey Follow-up
2023-10-14,Customer segment: active,High,003g5000002EgO3AAK,00Tg5000000RjpDEAS,Completed,Account Review
2025-02-11,Customer segment: active,High,003g5000002EguJAAS,00Tg5000000RjpEEAS,Completed,Retention Call
2025-02-20,Customer segment: active,Low,003g5000002Ehf3AAC,00Tg5000000RjpFEAS,Completed,Survey Follow-up
2025-01-29,Customer segment: active,Low,003g5000002Ef5NAAS,00Tg5000000RjqfEAC,Completed,Birthday Greeting
2025-04-23,Customer segment: active,Normal,003g5000002Ef2AAAS,00Tg5000000RjsHEAS,Completed,Follow-up Call
2025-02-05,Customer segment: at_risk,Normal,003g5000002Eg7tAAC,00Tg5000000RjsIEAS,In Progress,Cross-sell Opportunity
2024-03-22,Customer segment: active,Normal,003g5000002EgRFAA0,00Tg5000000RjsJEAS,Completed,Welcome Call
2023-12-04,Customer segment: active,Low,003g5000002EhojAAC,00Tg5000000RjsKEAS,Completed,Birthday Greeting
2023-03-08,Customer segment: active,Normal,003g5000002Ef2AAAS,00Tg5000000RjttEAC,Not Started,Cross-sell Opportunity
2024-07-04,Customer segment: active,Normal,003g5000002EiUfAAK,00Tg5000000RjtuEAC,In Progress,Follow-up Call
2024-01-20,Customer segment: active,Low,003g5000002EiWHAA0,00Tg5000000RjtvEAC,In Progress,Birthday Greeting
2023-08-02,Customer segment: active,High,003g5000002EfVCAA0,00Tg5000000RjtwEAC,Completed,Retention Call
2023-04-23,Customer segment: active,Normal,003g5000002Ef2AAAS,00Tg5000000RjvVEAS,Completed,Follow-up Call
2024-08-05,Customer segment: active,Normal,003g5000002EfBqAAK,00Tg5000000RjvWEAS,Not Started,Welcome Call
2023-01-17,Customer segment: active,Normal,003g5000002EgJBAA0,00Tg5000000RjvXEAS,Not Started,Follow-up Call
2025-07-10,Customer segment: at_risk,High,003g5000002Ef6zAAC,00Tg5000000Rjx7EAC,Not Started,Account Review
2025-09-21,Customer segment: at_risk,Normal,003g5000002EepHAAS,00Tg5000000Rjx8EAC,In Progress,Product Inquiry Response
2023-05-12,Customer segment: active,Low,003g5000002EfzpAAC,00Tg5000000Rjx9EAC,Not Started,Birthday Greeting
2025-04-12,Customer segment: churned,Normal,003g5000002EgHaAAK,00Tg5000000RjxAEAS,Completed,Welcome Call
2024-06-28,Customer segment: at_risk,Normal,003g5000002Eg4gAAC,00Tg5000000RjxBEAS,Not Started,Cross-sell Opportunity
2024-03-19,Customer segment: churned,Normal,003g5000002Egj0AAC,00Tg5000000RjxCEAS,Completed,Welcome Call
2023-04-17,Customer segment: active,High,003g5000002EeivAAC,00Tg5000000RjxDEAS,In Progress,Retention Call
2023-07-17,Customer segment: at_risk,Normal,003g5000002Ei3HAAS,00Tg5000000RjxEEAS,Not Started,Welcome Call
2025-01-31,Customer segment: active,Normal,003g5000002EjH4AAK,00Tg5000000RjxFEAS,In Progress,Follow-up Call
2024-02-13,Customer segment: at_risk,High,003g5000002Ef6zAAC,00Tg5000000RjyjEAC,In Progress,Account Review
2025-05-18,Customer segment: active,High,003g5000002EfADAA0,00Tg5000000RjykEAC,Completed,Retention Call
2023-02-12,Customer segment: at_risk,Normal,003g5000002EfuzAAC,00Tg5000000RjylEAC,In Progress,Follow-up Call
2023-06-04,Customer segment: at_risk,High,003g5000002Ef6zAAC,00Tg5000000Rk0LEAS,In Progress,Retention Call
2025-05-01,Customer segment: active,High,003g5000002EesWAAS,00Tg5000000Rk0MEAS,In Progress,Retention Call
2024-04-20,Customer segment: churned,Normal,003g5000002EhVOAA0,00Tg5000000Rk0NEAS,In Progress,Cross-sell Opportunity
2024-01-15,Customer segment: active,Normal,003g5000002EhvEAAS,00Tg5000000Rk0OEAS,In Progress,Cross-sell Opportunity
2023-07-25,Customer segment: at_risk,Low,003g5000002EiT3AAK,00Tg5000000Rk0PEAS,Completed,Birthday Greeting
2023-04-05,Customer segment: at_risk,Normal,003g5000002EepHAAS,00Tg5000000Rk1xEAC,Not Started,Product Inquiry Response
2025-05-16,Customer segment: active,Normal,003g5000002EgZKAA0,00Tg5000000Rk1yEAC,Not Started,Follow-up Call
2023-05-13,Customer segment: at_risk,Normal,003g5000002EgflAAC,00Tg5000000Rk1zEAC,Not Started,Welcome Call
2024-02-05,Customer segment: at_risk,Low,003g5000002EgcYAAS,00Tg5000000Rk20EAC,In Progress,Survey Follow-up
2025-10-13,Customer segment: churned,Normal,003g5000002EfbfAAC,00Tg5000000Rk21EAC,Not Started,Follow-up Call
2024-03-06,Customer segment: churned,Normal,003g5000002Ef0aAAC,00Tg5000000Rk22EAC,In Progress,Cross-sell Opportunity
2025-08-15,Customer segment: at_risk,High,003g5000002EfgUAAS,00Tg5000000Rk23EAC,In Progress,Retention Call
2023-03-18,Customer segment: at_risk,High,003g5000002EepHAAS,00Tg5000000Rk3ZEAS,Completed,Retention Call
2024-11-12,Customer segment: active,Low,003g5000002Ei3GAAS,00Tg5000000Rk3aEAC,Completed,Birthday Greeting
2024-04-10,Customer segment: active,High,003g5000002Ej0xAAC,00Tg5000000Rk3bEAC,Not Started,Account Review
2025-04-12,Customer segment: active,High,003g5000002EjFRAA0,00Tg5000000Rk3cEAC,In Progress,Retention Call
2024-01-04,Customer segment: active,High,003g5000002Ef8bAAC,00Tg5000000Rk5BEAS,In Progress,Retention Call
2024-01-17,Customer segment: at_risk,Normal,003g5000002EfQLAA0,00Tg5000000Rk5CEAS,Completed,Cross-sell Opportunity
2025-10-14,Customer segment: active,Normal,003g5000002EfADAA0,00Tg5000000Rk6nEAC,In Progress,Welcome Call
2025-06-26,Customer segment: active,Normal,003g5000002EfbeAAC,00Tg5000000Rk6oEAC,Not Started,Cross-sell Opportunity
2023-02-05,Customer segment: active,High,003g5000002EfQNAA0,00Tg5000000Rk6pEAC,Completed,Retention Call
2023-11-14,Customer segment: active,Low,003g5000002Ef5PAAS,00Tg5000000Rk6qEAC,Not Started,Birthday Greeting
2025-02-04,Customer segment: at_risk,Normal,003g5000002EfesAAC,00Tg5000000Rk6rEAC,In Progress,Cross-sell Opportunity
2025-06-26,Customer segment: at_risk,Normal,003g5000002EftRAAS,00Tg5000000Rk6sEAC,In Progress,Product Inquiry Response
2025-05-24,Customer segment: active,Low,003g5000002EfYTAA0,00Tg5000000Rk6tEAC,Completed,Birthday Greeting
2024-06-13,Customer segment: at_risk,Low,003g5000002EfS0AAK,00Tg5000000Rk6uEAC,Completed,Birthday Greeting
2024-10-19,Customer segment: churned,High,003g5000002Ef3mAAC,00Tg5000000Rk8PEAS,In Progress,Retention Call
2024-10-04,Customer segment: active,Normal,003g5000002EfOjAAK,00Tg5000000Rk8QEAS,Not Started,Follow-up Call
2025-09-19,Customer segment: active,Low,003g5000002Ef3pAAC,00Tg5000000Rk8REAS,Completed,Birthday Greeting
2023-05-15,Customer segment: at_risk,Normal,003g5000002Efq9AAC,00Tg5000000Rk8SEAS,Completed,Product Inquiry Response
2023-01-31,Customer segment: churned,Normal,003g5000002Ef3mAAC,00Tg5000000RkA1EAK,Not Started,Welcome Call
2024-10-02,Customer segment: at_risk,Normal,003g5000002EfTaAAK,00Tg5000000RkA2EAK,Completed,Follow-up Call
2024-05-21,Customer segment: active,Normal,003g5000002EgKnAAK,00Tg5000000RkA3EAK,In Progress,Follow-up Call
2024-06-20,Customer segment: active,Normal,003g5000002EepIAAS,00Tg5000000RkA4EAK,Completed,Cross-sell Opportunity
2023-10-04,Customer segment: churned,Low,003g5000002Ef3mAAC,00Tg5000000RkBdEAK,Not Started,Survey Follow-up
2024-01-07,Customer segment: active,High,003g5000002EfYPAA0,00Tg5000000RkBeEAK,In Progress,Retention Call
2024-10-12,Customer segment: churned,Normal,003g5000002EenfAAC,00Tg5000000RkBfEAK,Not Started,Welcome Call
2024-02-22,Customer segment: churned,Low,003g5000002EhFIAA0,00Tg5000000RkBgEAK,In Progress,Birthday Greeting
2023-03-19,Customer segment: active,Normal,003g5000002Efv1AAC,00Tg5000000RkBhEAK,Not Started,Product Inquiry Response
2025-12-07,Customer segment: churned,High,003g5000002Ej0yAAC,00Tg5000000RkBiEAK,Not Started,Retention Call
2023-12-14,Customer segment: at_risk,High,003g5000002EirGAAS,00Tg5000000RkBjEAK,Completed,Account Review
2024-01-10,Customer segment: active,Normal,003g5000002EfBpAAK,00Tg5000000RkDFEA0,In Progress,Cross-sell Opportunity
2024-01-14,Customer segment: at_risk,Normal,003g5000002EhDeAAK,00Tg5000000RkDGEA0,In Progress,Cross-sell Opportunity
2023-12-31,Customer segment: at_risk,Normal,003g5000002EfDRAA0,00Tg5000000RkErEAK,In Progress,Cross-sell Opportunity
2025-05-25,Customer segment: active,Normal,003g5000002EfLVAA0,00Tg5000000RkEsEAK,Not Started,Welcome Call
2024-05-29,Customer segment: active,Normal,003g5000002EfF3AAK,00Tg5000000RkGTEA0,In Progress,Follow-up Call
2024-02-25,Customer segment: active,Normal,003g5000002EfgTAAS,00Tg5000000RkGUEA0,In Progress,Welcome Call
2025-10-26,Customer segment: active,Low,003g5000002EfWoAAK,00Tg5000000RkGVEA0,Completed,Birthday Greeting
2023-10-12,Customer segment: active,Low,003g5000002EgXhAAK,00Tg5000000RkGWEA0,In Progress,Birthday Greeting
2023-07-09,Customer segment: active,Low,003g5000002Ef2DAAS,00Tg5000000RkGXEA0,In Progress,Birthday Greeting
2025-10-24,Customer segment: at_risk,High,003g5000002EfmyAAC,00Tg5000000RkGYEA0,In Progress,Retention Call
2025-11-10,Customer segment: at_risk,Low,003g5000002EfF4AAK,00Tg5000000RkI5EAK,In Progress,Birthday Greeting
2023-11-15,Customer segment: active,Low,003g5000002EixiAAC,00Tg5000000RkI6EAK,Not Started,Survey Follow-up
2025-12-30,Customer segment: at_risk,Normal,003g5000002EfF4AAK,00Tg5000000RkJhEAK,Completed,Follow-up Call
2023-06-28,Customer segment: active,Low,003g5000002EfIHAA0,00Tg5000000RkJiEAK,Not Started,Birthday Greeting
2023-07-12,Customer segment: active,Normal,003g5000002EfbdAAC,00Tg5000000RkJjEAK,In Progress,Product Inquiry Response
2024-10-24,Customer segment: at_risk,Normal,003g5000002EfN9AAK,00Tg5000000RkJkEAK,Not Started,Follow-up Call
2024-11-10,Customer segment: active,Low,003g5000002Ej7OAAS,00Tg5000000RkJlEAK,In Progress,Survey Follow-up
2023-07-26,Customer segment: at_risk,Low,003g5000002EfF4AAK,00Tg5000000RkLJEA0,Not Started,Survey Follow-up
2025-03-25,Customer segment: at_risk,Normal,003g5000002Eh7BAAS,00Tg5000000RkLKEA0,Completed,Product Inquiry Response
2023-06-16,Customer segment: active,Normal,003g5000002EgzAAAS,00Tg5000000RkLLEA0,In Progress,Follow-up Call
2023-08-14,Customer segment: at_risk,Normal,003g5000002EgKoAAK,00Tg5000000RkLMEA0,In Progress,Cross-sell Opportunity
2025-09-26,Customer segment: churned,Normal,003g5000002EjDqAAK,00Tg5000000RkLNEA0,Not Started,Follow-up Call
2025-04-03,Customer segment: active,Low,003g5000002EfVEAA0,00Tg5000000RkLOEA0,Not Started,Survey Follow-up
2023-04-27,Customer segment: active,Normal,003g5000002Ef3nAAC,00Tg5000000RkMvEAK,In Progress,Follow-up Call
2023-08-15,Customer segment: active,Normal,003g5000002Eg7vAAC,00Tg5000000RkMwEAK,In Progress,Follow-up Call
2023-04-27,Customer segment: active,Low,003g5000002EfGfAAK,00Tg5000000RkOXEA0,In Progress,Birthday Greeting
2025-08-13,Customer segment: active,Normal,003g5000002EfN8AAK,00Tg5000000RkOYEA0,Not Started,Product Inquiry Response
2025-11-18,Customer segment: at_risk,Normal,003g5000002EgPdAAK,00Tg5000000RkOZEA0,In Progress,Cross-sell Opportunity
2024-09-16,Customer segment: at_risk,Normal,003g5000002Ei3HAAS,00Tg5000000RkOaEAK,Not Started,Follow-up Call
2025-12-21,Customer segment: at_risk,High,003g5000002EfJtAAK,00Tg5000000RkQ9EAK,In Progress,Account Review
2025-07-01,Customer segment: at_risk,High,003g5000002EfuzAAC,00Tg5000000RkQAEA0,Not Started,Account Review
2025-11-23,Customer segment: churned,Normal,003g5000002Ej2YAAS,00Tg5000000RkQBEA0,In Progress,Product Inquiry Response
2023-12-24,Customer segment: at_risk,Normal,003g5000002EfJtAAK,00Tg5000000RkRlEAK,Not Started,Cross-sell Opportunity
2025-11-18,Customer segment: at_risk,Normal,003g5000002EfJtAAK,00Tg5000000RkTNEA0,Not Started,Follow-up Call
2025-11-28,Customer segment: at_risk,Low,003g5000002EgPdAAK,00Tg5000000RkTOEA0,Not Started,Birthday Greeting
2024-08-21,Customer segment: churned,Normal,003g5000002Eg1SAAS,00Tg5000000RkTPEA0,In Progress,Product Inquiry Response
2025-11-09,Customer segment: active,High,003g5000002EghNAAS,00Tg5000000RkTQEA0,Completed,Retention Call
2025-01-12,Customer segment: at_risk,Normal,003g5000002EgcYAAS,00Tg5000000RkTREA0,Completed,Welcome Call
2025-09-03,Customer segment: active,High,003g5000002EepIAAS,00Tg5000000RkTSEA0,Completed,Retention Call
2023-07-15,Customer segment: churned,Normal,003g5000002EfgVAAS,00Tg5000000RkTTEA0,Completed,Follow-up Call
